산업분야,자기자본비율,고정비율,유형자산비율,현금성자산비율,현금비율,부채비율,자기자본대비부채비율,유동비율,당좌비율
1,0.897,0,0,0.448,0.0333,0.103580263,0.115548673,0.074425026,0.074425026
2,0.56,0.621483376,0.348237317,0.0754,0.0534,0.439527013,0.784207511,0.709420907,0.459475055
2,0.388,1.109433923,0.430839594,0.016,0.0148,0.611658175,1.575050988,0.928920432,0.316801615
2,0.764,0.475350341,0.362950249,0.236,0.639,0.236457371,0.309684571,2.708880892,2.190930731
2,0.673,0.949392713,0.638964578,0.326,0.506,0.32482032,0.481087714,1.552201057,1.062921614
2,0.838,0.5,0.419103314,0.143,0.427,0.161448974,0.19253305,2.993336267,2.09566805
2,0.262,2.684210526,0.703448276,0.0178,0.00904,0.737212737,2.805359367,0.50868833,0.305764268
1,0.858,0.118597581,0.101745421,0.00173,0.00107,0.143078775,0.166968184,0.619612952,0.619612952
2,0.733,0.126902846,0.093006517,0.0888,0.305,0.267104561,0.364451117,3.435532514,1.810175894
0,0.289,0.343732098,0.099279571,0.00473,0.00438,0.710962377,2.459755801,0.92786102,0.640341923
2,0.38,1.463689195,0.5559107,0.171,0.143,0.620198945,1.632957406,0.839787536,0.749640592
1,0.892,0.00570414,0.005087078,0.366,2.66,0.108177959,0.121299938,7.268885634,7.268885634
2,0.718,0.010822307,0.007774838,0.539,1.58,0.281591473,0.39196566,2.928312792,2.54086082
2,0.916,0.576704545,0.528373391,0.248,0.961,0.083925103,0.091613801,3.869484442,2.976335505
2,0.863,0.206321021,0.178128748,0.546,2.93,0.136642756,0.15826908,5.365895795,4.85068896
2,0.846,0.523925452,0.443461327,0.328,1.05,0.153579339,0.181445641,3.18202588,2.205767889
2,0.82,0.491926982,0.403502033,0.286,0.73,0.179752184,0.219143751,2.556796495,1.629795608
2,0.397,0.903525046,0.359144543,0.0989,0.0848,0.602755326,1.517340236,0.856563961,0.471154461
2,0.514,0.569832402,0.293103448,0.258,0.54,0.484868534,0.941252021,2.090092617,1.484728431
2,0.556,1.142857143,0.635573779,0.0639,0.0775,0.444652452,0.800679981,1.211768448,0.596299251
1,0.81,0.013939934,0.011284939,0.0125,0.0895,0.190459644,0.235268869,7.150751232,6.324933549
2,0.829,0.194762684,0.1614654,0.269,0.578,0.170837756,0.206036838,2.145250051,1.627160855
1,0.897,0.023309187,0.020915762,0.408,2.97,0.102681619,0.114431645,7.286349623,7.16185531
2,0.597,0.402371092,0.240372145,0.267,0.402,0.402610799,0.673950581,1.50241387,1.283231563
2,0.441,0.913333333,0.402941176,0.0234,0.0297,0.558024949,1.262567572,1.275161839,0.906913118
2,0.461,1.267045455,0.583769634,0.0275,0.0195,0.539622142,1.172130012,0.709434446,0.410515788
2,0.523,0.264363567,0.138316803,0.0628,0.0842,0.477495937,0.913868927,1.336008923,1.296553918
1,0.845,0.006864323,0.005797162,0.458,7.43,0.155464846,0.184083334,16.22379223,16.22379223
2,0.515,1.434846932,0.738793792,0.175,0.423,0.485106198,0.942148062,2.418402179,1.517823384
1,0.921,0.000893685,0.000823092,0.282,1.64,0.078425199,0.08509951,5.83070707,5.83070707
1,0.71,0.003025516,0.00214825,0.0763,0.0864,0.289955845,0.408363117,1.131744538,1.131744538
1,0.914,0.092026955,0.084142874,0.551,3.96,0.085671432,0.093698737,7.188217634,6.353501971
2,0.846,0.009853622,0.008338343,0.212,1.08,0.153778861,0.181724202,5.089570885,4.06269833
0,0.924,0.051492851,0.047554869,0.0549,0.71,0.076381868,0.082698539,12.91809844,12.27012319
0,0.924,0.000275332,0.000254533,0.591,3.6,0.074710952,0.080743176,6.08409025,3.814080312
2,0.634,0.288417379,0.182839766,0.153,0.364,0.366058428,0.57743244,2.383884126,1.59390131
2,0.949,0.130311893,0.12368839,0.508,4.53,0.050428229,0.053106317,8.918126192,8.215995187
2,0.0243,11.56626506,0.281195079,0.115,0.0759,0.975678463,40.12045988,0.660720423,0.537825721
1,0.684,0.22025506,0.15070083,0.0181,0.0896,0.318409659,0.467154785,4.962969558,4.600872421
3,0.194,0.072659066,0.014106154,0.125,0.0643,0.805806846,4.143201702,0.512924837,0.501368275
2,0.46,0.631818182,0.290794979,0.0079,0.00845,0.539379356,1.170984286,1.070169732,0.83793887
2,0.826,0.041358467,0.03416667,0.622,2.75,0.173889354,0.210491603,4.424203447,4.424203447
2,0.482,0.529621995,0.25534622,0.099,0.115,0.516694228,1.069081892,1.165894873,0.357341655
2,0.871,0.240682816,0.209624169,0.14,0.54,0.129043891,0.148163483,3.869927629,3.252172899
2,0.574,0.080381542,0.046100407,0.103,0.0643,0.427091156,0.745480039,0.624224467,0.289092258
3,0.365,0.00100147,0.000365813,0.249,0.195,0.634724225,1.737657592,0.783276166,0.76346568
1,0.345,0.610548381,0.210466592,0.0139,0.0159,0.655282696,1.900927768,1.142974086,0.93724622
2,0.816,0.718180752,0.585694151,0.615,1.23,0.185861638,0.228291641,2.001477543,1.99573668
1,0.763,0,0,0.0194,0.0194,0.23742702,0.311349899,0.999930153,0.999930153
2,0.513,0.209368469,0.10730425,0.137,0.128,0.487486103,0.951166602,0.934030996,0.641294888
2,0.662,0.617615903,0.408824148,0.14,0.174,0.338060847,0.510712873,1.242672127,1.064621523
1,0.858,0.00099664,0.000855279,0.14,0.0122,0.142626709,0.166353095,0.08701477,0.08701477
2,0.344,0.355443005,0.122420988,0.0965,0.081,0.654681137,1.895876439,0.839935588,0.641106184
2,0.86,0.126985896,0.109263038,0.0244,0.126,0.13956556,0.162203596,5.174552535,5.171193603
2,0.672,0.250384766,0.168140338,0.264,0.339,0.32906284,0.490454301,1.28151437,1.22249749
